subsample,reg_lambda,n_estimators,max_depth,learning_rate,colsample_bytree,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_spearman_mean,cv_pr_auc_mean,cv_roc_auc_mean,cv_best_iteration_mean
0.8,30.0,300,3,0.03,0.8,0.032475285977125165,0.0038766844372354853,0.012469564750790595,0.8133648285506364,0.9760480650846345,0.9866166902536635,298.8
1.0,30.0,1200,6,0.1,0.4,0.032639303058385846,0.004594401927600928,0.012867823429405689,0.7869840274934118,0.9525298397028639,0.9711698131410458,510.0
1.0,10.0,300,2,0.1,0.2,0.0328053530305624,0.005063089990098997,0.014031472429633141,0.7774277259075564,0.9465168477058337,0.9662079617449087,297.8
1.0,30.0,1200,2,0.01,0.8,0.034107339754700663,0.005319592022252839,0.013970494456589221,0.7948411174140044,0.9651373154274051,0.9781349634054989,1198.2
1.0,3.0,1200,2,0.01,0.2,0.0344318401068449,0.005231315103628329,0.015300793759524822,0.781820792560424,0.9365707902805752,0.9654233797634856,1198.2
1.0,1.0,600,6,0.05,0.2,0.03568016737699509,0.005394836732712041,0.014481239765882493,0.7828237739916346,0.9330476127612943,0.9673782368234557,598.8
1.0,10.0,300,6,0.1,0.2,0.03584287688136101,0.005460928797414048,0.014630288258194924,0.7740111001442037,0.9276773813954975,0.964041582639345,296.2
0.6,30.0,600,4,0.01,0.8,0.035879429802298544,0.004520638792627803,0.012523267045617103,0.8180546627539604,0.9778766942503477,0.9881209206752594,599.0
0.6,10.0,300,6,0.05,0.2,0.03661809600889683,0.004568781956416591,0.014563887380063534,0.7856792103709891,0.9337523016482097,0.967739541272792,296.6
1.0,1.0,300,6,0.03,0.2,0.03729315474629402,0.005808823230505163,0.015113734640181065,0.7856098688312542,0.9280954981845682,0.9675573891021033,297.6
0.8,10.0,300,2,0.01,0.8,0.03777642846107483,0.005485081619924211,0.015209078975021838,0.8129024712252232,0.9753597499575818,0.9851424167249254,299.0
0.8,30.0,300,6,0.05,0.2,0.03807258978486061,0.005642395703466214,0.014671122841536998,0.7843478502581211,0.9323744264704885,0.9668172809848874,296.8
1.0,30.0,300,6,0.01,0.8,0.04029911383986473,0.005732364928626459,0.013818111270666122,0.8174295411517818,0.9780385139362924,0.9880843529086378,299.0
