patch_id,lon,lat,label_confidence,has_coverage,ntl,builtup,elevation,total_tests,n_subtiles,mean_tests,coverage_fraction,log_mean_tests,split
patch_029077,70.94000000000011,10.03999999999998,confirmed_negative,0,0.1523513800414634,,,0.0,0.0,0.0,0.0,0.0,train
patch_108604,89.84000000000083,19.699999999999918,confirmed_negative,0,0.1139649701476935,,,0.0,0.0,0.0,0.0,0.0,val
patch_070608,83.12000000000059,15.079999999999949,confirmed_negative,0,0.1296864116245811,,,0.0,0.0,0.0,0.0,0.0,train
patch_049144,94.160000000001,12.439999999999962,confirmed_negative,0,0.0470744251941269,,,0.0,0.0,0.0,0.0,0.0,train
patch_013109,87.02000000000072,8.05999999999999,confirmed_negative,0,0.121593938816525,,,0.0,0.0,0.0,0.0,0.0,train
patch_066492,72.32000000000016,14.599999999999945,confirmed_negative,0,0.1277519965713461,,,0.0,0.0,0.0,0.0,0.0,train
patch_103784,95.84000000000106,19.09999999999992,confirmed_negative,0,0.1521618601420717,0.0,423.5138663655959,0.0,0.0,0.0,0.0,0.0,train
patch_099684,86.00000000000068,18.619999999999923,confirmed_negative,0,0.1420314655979289,,,0.0,0.0,0.0,0.0,0.0,train
patch_059334,85.64000000000067,13.699999999999957,confirmed_negative,0,0.1225671195840058,,,0.0,0.0,0.0,0.0,0.0,train
patch_005030,74.60000000000026,7.099999999999997,confirmed_negative,0,0.1517735401184891,,,0.0,0.0,0.0,0.0,0.0,train
patch_047652,93.20000000000095,12.259999999999964,confirmed_negative,0,0.0780086967567392,,,0.0,0.0,0.0,0.0,0.0,train
patch_105151,89.30000000000081,19.27999999999992,confirmed_negative,0,0.1376729667080128,,,0.0,0.0,0.0,0.0,0.0,train
patch_045797,70.4600000000001,12.079999999999965,confirmed_negative,0,0.1375290471174598,,,0.0,0.0,0.0,0.0,0.0,val
patch_081212,69.92000000000007,16.39999999999993,confirmed_negative,0,0.1483646973444295,,,0.0,0.0,0.0,0.0,0.0,train
patch_067431,69.62000000000006,14.719999999999946,confirmed_negative,0,0.1403359668199034,,,0.0,0.0,0.0,0.0,0.0,val
patch_004291,89.30000000000081,6.979999999999996,confirmed_negative,0,0.1108920174148056,,,0.0,0.0,0.0,0.0,0.0,train
patch_020926,83.7200000000006,9.019999999999984,confirmed_negative,0,0.1235689530034542,,,0.0,0.0,0.0,0.0,0.0,train
patch_073660,89.1200000000008,15.43999999999994,confirmed_negative,0,0.1129965964473416,,,0.0,0.0,0.0,0.0,0.0,val
patch_012837,70.7000000000001,8.05999999999999,confirmed_negative,0,0.1541643733428462,,,0.0,0.0,0.0,0.0,0.0,train
patch_036327,92.66000000000092,10.87999999999997,confirmed_negative,0,0.0717486325589803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
patch_064991,70.8200000000001,14.419999999999952,confirmed_negative,0,0.1200674134608863,,,0.0,0.0,0.0,0.0,0.0,val
patch_016539,86.18000000000069,8.479999999999984,confirmed_negative,0,0.120814209881499,,,0.0,0.0,0.0,0.0,0.0,train
patch_065235,85.46000000000066,14.419999999999952,confirmed_negative,0,0.1180336432274872,,,0.0,0.0,0.0,0.0,0.0,train
patch_029983,95.78000000000104,10.099999999999977,confirmed_negative,0,0.0768935539801843,,,0.0,0.0,0.0,0.0,0.0,train
patch_076340,72.80000000000018,15.799999999999937,confirmed_negative,0,0.1285804563749375,,,0.0,0.0,0.0,0.0,0.0,train
patch_095754,86.3600000000007,18.13999999999992,confirmed_negative,0,0.1201871064317973,,,0.0,0.0,0.0,0.0,0.0,val
patch_116488,90.56000000000084,20.659999999999904,confirmed_negative,0,0.1239310395633887,,,0.0,0.0,0.0,0.0,0.0,train
patch_031355,89.54000000000082,10.279999999999974,confirmed_negative,0,0.0765348932535121,,,0.0,0.0,0.0,0.0,0.0,train
patch_062004,68.72000000000003,14.059999999999947,confirmed_negative,0,0.1402446932247983,,,0.0,0.0,0.0,0.0,0.0,val
patch_019042,88.76000000000079,8.779999999999987,confirmed_negative,0,0.1088171391199879,,,0.0,0.0,0.0,0.0,0.0,train
patch_087643,72.02000000000015,17.17999999999993,confirmed_negative,0,0.145217755646639,,,0.0,0.0,0.0,0.0,0.0,train
patch_103645,87.50000000000074,19.09999999999992,confirmed_negative,0,0.1202668892591213,,,0.0,0.0,0.0,0.0,0.0,val
patch_073553,82.70000000000056,15.43999999999994,confirmed_negative,0,0.1325142103594191,,,0.0,0.0,0.0,0.0,0.0,train
patch_112037,89.1800000000008,20.11999999999991,confirmed_negative,0,0.1412488024451154,,,0.0,0.0,0.0,0.0,0.0,train
patch_036130,80.84000000000049,10.87999999999997,confirmed_negative,0,0.111477509637802,,,0.0,0.0,0.0,0.0,0.0,train
patch_031304,86.4800000000007,10.279999999999976,confirmed_negative,0,0.1037298751627105,,,0.0,0.0,0.0,0.0,0.0,train
patch_027463,92.18000000000092,9.799999999999978,confirmed_negative,0,0.0764690584171169,,0.0,0.0,0.0,0.0,0.0,0.0,train
patch_039118,83.00000000000057,11.23999999999997,confirmed_negative,0,0.1176624774542437,,,0.0,0.0,0.0,0.0,0.0,train
patch_070631,84.50000000000063,15.079999999999949,confirmed_negative,0,0.1357170423912202,,,0.0,0.0,0.0,0.0,0.0,train
patch_022588,94.88000000000105,9.199999999999982,confirmed_negative,0,0.0984679216887086,,,0.0,0.0,0.0,0.0,0.0,train
patch_047930,80.36000000000047,12.319999999999965,confirmed_negative,0,0.1426365611498649,,,0.0,0.0,0.0,0.0,0.0,train
patch_035323,91.46000000000087,10.759999999999971,confirmed_negative,0,0.0795216752926156,0.0,,0.0,0.0,0.0,0.0,0.0,val
patch_102326,96.9200000000011,18.91999999999992,confirmed_negative,0,0.1442457843602734,0.0,655.9992325084529,0.0,0.0,0.0,0.0,0.0,train
patch_028074,69.80000000000007,9.919999999999977,confirmed_negative,0,0.1550842177949556,,,0.0,0.0,0.0,0.0,0.0,train
patch_012734,94.040000000001,7.999999999999989,confirmed_negative,0,0.1144346917967079,,,0.0,0.0,0.0,0.0,0.0,val
patch_089598,71.24000000000012,17.419999999999927,confirmed_negative,0,0.1346403475406714,,,0.0,0.0,0.0,0.0,0.0,train
patch_031229,81.98000000000053,10.279999999999974,confirmed_negative,0,0.1223504820307615,,,0.0,0.0,0.0,0.0,0.0,train
patch_058627,72.74000000000018,13.639999999999954,confirmed_negative,0,0.1368038742596225,,,0.0,0.0,0.0,0.0,0.0,train
patch_032744,84.32000000000062,10.459999999999974,confirmed_negative,0,0.1131441231171906,,,0.0,0.0,0.0,0.0,0.0,train
patch_002503,70.5800000000001,6.799999999999999,confirmed_negative,0,0.1407767518064004,,,0.0,0.0,0.0,0.0,0.0,train
patch_088384,86.96000000000072,17.239999999999934,confirmed_negative,0,0.1309532683011608,,,0.0,0.0,0.0,0.0,0.0,train
patch_012196,91.28000000000088,7.939999999999992,confirmed_negative,0,0.1064185340327968,,,0.0,0.0,0.0,0.0,0.0,val
patch_066404,96.56000000000108,14.539999999999944,confirmed_negative,0,0.1124184102781868,,,0.0,0.0,0.0,0.0,0.0,val
patch_118443,89.78000000000083,20.899999999999903,confirmed_negative,0,0.1221327254325145,,,0.0,0.0,0.0,0.0,0.0,train
patch_113665,68.78000000000003,20.359999999999907,confirmed_negative,0,0.1538803567946722,,,0.0,0.0,0.0,0.0,0.0,train
patch_023077,94.700000000001,9.259999999999984,confirmed_negative,0,0.0985405047310947,,,0.0,0.0,0.0,0.0,0.0,train
patch_084443,86.66000000000071,16.759999999999934,confirmed_negative,0,0.1343684666479861,,,0.0,0.0,0.0,0.0,0.0,train
patch_006715,87.14000000000073,7.279999999999996,confirmed_negative,0,0.1134947341254487,,,0.0,0.0,0.0,0.0,0.0,train
patch_115038,92.12000000000091,20.47999999999991,confirmed_negative,0,0.1316948550156865,,,0.0,0.0,0.0,0.0,0.0,val
patch_017667,94.82000000000102,8.599999999999987,confirmed_negative,0,0.1126149119661863,,,0.0,0.0,0.0,0.0,0.0,val
patch_017969,83.42000000000058,8.659999999999988,confirmed_negative,0,0.1224147604469347,,,0.0,0.0,0.0,0.0,0.0,train
patch_044706,93.56000000000095,11.899999999999965,confirmed_negative,0,0.0862431704947491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
patch_063938,96.20000000000108,14.239999999999949,confirmed_negative,0,0.0566671927871661,,,0.0,0.0,0.0,0.0,0.0,train
patch_017105,90.62000000000089,8.539999999999987,confirmed_negative,0,0.1043127563430786,,,0.0,0.0,0.0,0.0,0.0,train
patch_106563,85.46000000000066,19.45999999999992,confirmed_negative,0,0.1408953926426315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
patch_034752,86.72000000000071,10.699999999999973,confirmed_negative,0,0.1047301071488537,,,0.0,0.0,0.0,0.0,0.0,train
patch_058032,96.08000000000108,13.519999999999952,confirmed_negative,0,0.0521857343850232,,,0.0,0.0,0.0,0.0,0.0,train
patch_106591,87.14000000000073,19.45999999999992,confirmed_negative,0,0.1338833532407954,,,0.0,0.0,0.0,0.0,0.0,train
patch_084923,85.94000000000068,16.819999999999933,confirmed_negative,0,0.1296211587250528,,,0.0,0.0,0.0,0.0,0.0,train
patch_014848,73.2800000000002,8.29999999999999,confirmed_negative,0,0.1563226921547744,0.0,,0.0,0.0,0.0,0.0,0.0,train
patch_044858,73.1600000000002,11.959999999999964,confirmed_negative,0,0.1430311992048137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,val
patch_036361,94.700000000001,10.87999999999997,confirmed_negative,0,0.0672868342195371,,,0.0,0.0,0.0,0.0,0.0,train
patch_116479,90.02000000000083,20.659999999999908,confirmed_negative,0,0.1230530549024175,,,0.0,0.0,0.0,0.0,0.0,train
patch_069945,72.86000000000018,15.019999999999945,confirmed_negative,0,0.1301924525246448,,,0.0,0.0,0.0,0.0,0.0,train
patch_054943,87.86000000000075,13.15999999999996,confirmed_negative,0,0.1049493008650969,,,0.0,0.0,0.0,0.0,0.0,train
patch_056473,91.10000000000088,13.339999999999954,confirmed_negative,0,0.0822381606440692,,,0.0,0.0,0.0,0.0,0.0,train
patch_095375,93.14000000000097,18.079999999999924,confirmed_negative,0,0.1051457219828899,,,0.0,0.0,0.0,0.0,0.0,train
patch_100713,88.70000000000078,18.739999999999924,confirmed_negative,0,0.1199359314671726,,,0.0,0.0,0.0,0.0,0.0,train
patch_013288,68.24000000000001,8.11999999999999,confirmed_negative,0,0.1362743729788331,,,0.0,0.0,0.0,0.0,0.0,val
patch_089442,91.40000000000089,17.359999999999932,confirmed_negative,0,0.1080943195739294,,,0.0,0.0,0.0,0.0,0.0,train
patch_116959,89.30000000000081,20.71999999999991,confirmed_negative,0,0.1545111474758304,,,0.0,0.0,0.0,0.0,0.0,train
patch_064760,86.4800000000007,14.35999999999995,confirmed_negative,0,0.1292731492788437,,,0.0,0.0,0.0,0.0,0.0,train
patch_000731,82.34000000000054,6.5600000000000005,confirmed_negative,0,0.1204925455745204,,,0.0,0.0,0.0,0.0,0.0,train
patch_043408,74.72000000000025,11.779999999999966,confirmed_negative,0,0.1538543458722469,0.0,,0.0,0.0,0.0,0.0,0.0,train
patch_042747,94.100000000001,11.659999999999966,confirmed_negative,0,0.0846796805258999,,,0.0,0.0,0.0,0.0,0.0,val
patch_032599,75.6200000000003,10.459999999999974,confirmed_negative,0,0.1406719799019944,,,0.0,0.0,0.0,0.0,0.0,train
